                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7629,                 4.3433,                 3.6794,                0.25992,                0.23836,                0.14083,                0.04192,                 2.7844,                 3.3661,                 2.9755,             0.00066169,             0.00066169,             0.00066169
                      2,                  2.412,                 2.2409,                 2.5463,                0.10318,                 0.1065,                0.07691,                0.03219,                 2.1347,                   3.07,                 2.5289,              0.0012626,              0.0012626,              0.0012626
                      3,                 1.9243,                 1.5631,                 2.1415,                0.77612,                0.66713,                0.76444,                  0.362,                 1.7683,                 1.6626,                 2.1543,              0.0017975,              0.0017975,              0.0017975
                      4,                  1.727,                  1.314,                 1.9062,                0.74143,                0.57538,                0.61731,                0.34393,                 1.7344,                 1.7518,                 2.0213,               0.001703,               0.001703,               0.001703
                      5,                 1.5583,                 1.1322,                 1.7408,                0.91647,                0.81441,                0.90102,                0.54645,                 1.3693,                 1.0023,                 1.7019,               0.001604,               0.001604,               0.001604
                      6,                 1.5019,                 1.0407,                 1.6727,                0.88715,                0.80129,                0.87076,                0.50158,                 1.5069,                 1.0177,                 1.7574,               0.001505,               0.001505,               0.001505
                      7,                 1.3827,                0.91118,                 1.5628,                0.91308,                0.84509,                0.92295,                0.57187,                 1.3522,                0.84467,                  1.639,               0.001406,               0.001406,               0.001406
                      8,                 1.3086,                0.87435,                 1.5171,                0.95063,                0.87967,                0.94412,                0.62391,                 1.1884,                0.76144,                 1.5088,               0.001307,               0.001307,               0.001307
                      9,                 1.2808,                 0.8318,                 1.4712,                0.94334,                0.90568,                0.95332,                0.64562,                  1.148,                0.69941,                  1.491,               0.001208,               0.001208,               0.001208
                     10,                 1.2474,                 0.7927,                 1.4443,                0.94171,                0.90272,                0.95741,                0.66105,                 1.1016,                0.65834,                 1.4093,               0.001109,               0.001109,               0.001109
                     11,                  1.149,                0.72229,                 1.4351,                0.96424,                0.89903,                0.95707,                0.67481,                 1.0745,                0.64569,                 1.4044,                0.00101,                0.00101,                0.00101
                     12,                 1.1191,                0.68769,                 1.4139,                0.94358,                 0.9099,                0.95771,                0.68624,                 1.0421,                0.63644,                 1.3631,               0.000911,               0.000911,               0.000911
                     13,                 1.1216,                0.66058,                 1.3978,                0.93731,                0.91148,                0.96147,                 0.6818,                 1.0542,                0.60509,                 1.3492,               0.000812,               0.000812,               0.000812
                     14,                 1.0693,                0.64746,                 1.3347,                0.96264,                0.92663,                0.96693,                 0.7096,                0.97011,                0.58386,                 1.3098,               0.000713,               0.000713,               0.000713
                     15,                  1.048,                0.61794,                 1.3302,                0.96514,                0.94456,                0.97419,                0.72848,                 0.9451,                0.54685,                 1.2799,               0.000614,               0.000614,               0.000614
                     16,                 1.0133,                0.60277,                 1.3053,                0.95925,                0.94514,                 0.9746,                0.73332,                0.91793,                0.52006,                 1.2561,               0.000515,               0.000515,               0.000515
                     17,                0.98602,                0.56656,                  1.283,                0.96164,                0.94764,                0.97515,                0.73844,                0.90512,                0.52113,                 1.2436,               0.000416,               0.000416,               0.000416
                     18,                0.95268,                0.54615,                 1.2579,                0.96529,                 0.9487,                0.97943,                0.74414,                 0.9147,                0.49659,                 1.2365,               0.000317,               0.000317,               0.000317
                     19,                0.94532,                0.53321,                 1.2423,                0.96106,                0.95574,                0.98028,                0.75876,                0.85898,                0.47218,                 1.2062,               0.000218,               0.000218,               0.000218
                     20,                0.91702,                0.51346,                 1.2255,                0.96418,                0.95563,                0.98076,                0.76605,                0.84654,                0.46533,                 1.1934,               0.000119,               0.000119,               0.000119
